薙	艹矢亻亠龶
襞	尸口立十亠𧘇
苾	艹必
滗	氵⺮毛
铋	钅必
庳	广丿丨乛一一丿十
萆	艹丿丨乛一一丿十
皕	百百
咇	口必
舭	舟比左匕
沘	氵比左匕
珌	王必
觱	戌口⺈用
诐	讠乛丿丨又
邲	必阝
佖	亻必
馝	禾日必
坒	比左匕土
泌	氵必
秘	禾必
鲾	鱼一口田
边	辶力
便	亻更
变	亠丨丨丿丶又
遍	辶户冂艹
编	纟户冂艹
辩	立𠂇讠立十
鞭	革亻更
辨	立𠂇丶丿立十
扁	户冂艹
辫	立𠂇纟立十
贬	冂人乏
蝙	虫户冂艹
匾	匚户冂艹
卞	丶下
汴	氵卞
弁	厶廾
砭	石乏
煸	火户冂艹
褊	衤户冂艹
笾	⺮力辶
鳊	鱼户冂艹
昪	日厶廾
忭	忄卞
苄	艹卞
抃	扌卞
碥	石户冂艹
萹	艹户冂艹
𨚕	厶廾阝
表	龶𧘇
标	木二小
镖	钅西二小
彪	虍几丿丿丿
飙	犬犬犬几乂
婊	女龶𧘇
骠	马西二小
镳	钅广乛丨丨一比左匕灬
膘	月西二小
裱	衤龶𧘇
杓	木勺
飑	几乂勹巳
俵	亻龶𧘇
鳔	鱼西二小
摽	扌西二小
瘭	疒西二小
熛	火西二小
藨	艹广乛丨丨一比左匕灬
儦	亻广乛丨丨一比左匕灬
骉	马马马
瀌	氵广乛丨丨一比左匕灬
幖	巾西二小
脿	月龶𧘇
别	口力刂
憋	丶丿丨乛丨丿丶攵心
瘪	疒自人匕
鳖	丶丿丨乛丨丿丶攵鱼
蹩	丶丿丨乛丨丿丶攵口丨一人
癿	白乛
宾	宀丘八
彬	木木丿丿丿
斌	文一弋止
滨	氵宀丘八
鬓	一丨一二厶丿丿丿宀丘八
缤	纟宀丘八
镔	钅宀丘八
濒	氵止丨丿丿一丿冂人
槟	木宀丘八
殡	歹宀丘八
膑	月宀丘八
摈	扌宀丘八
玢	王八刀
傧	亻宀丘八
豳	山豕豕
邠	八刀阝
髌	骨宀丘八
并	丷开
兵	丘八
冰	冫水
病	疒丙
柄	木丙
饼	饣丷开
禀	亠囗口二小
秉	丿一乛一一丨丿ㄟ
丙	一内
炳	火丙
摒	扌尸丷开
屏	尸丷开
邴	丙阝
昺	日丙
蛃	虫丙
波	氵乛丿丨又
博	十甫寸
脖	月十冖子
拨	扌乛丿又丶
播	扌丿米田
勃	十冖子力
玻	王乛丿丨又
膊	月甫寸
搏	扌甫寸
驳	马乂乂
泊	氵白
簸	⺮其上八乛丿丨又
帛	白巾
钵	钅本
跛	⻊乛丿丨又
渤	氵十冖子力
菠	艹氵乛丿丨又
礴	石艹氵甫寸
啵	口氵乛丿丨又
舶	舟白
卜	丨丶
饽	饣十冖子
铂	钅白
钹	钅𠂇又丶
箔	⺮氵白
亳	亠口冖丿七
擘	尸口立十手
檗	尸口立十木
鹁	十冖子鸟
僰	一丨乛丨丿ㄟ一丨乛丨丿ㄟ人
踣	⻊立口
镈	钅甫寸
砵	石本
鲌	鱼白
哱	口十冖子
嶓	山丿米田
浡	氵十冖子
馞	禾日十冖子
艴	弗⺈巴
蕃	艹丿米田
欂	木艹氵甫寸
袯	衤乛丿又丶
𬭛	钅氵乛丿丨又
不	一丿丨丶
部	立口阝
步	止丨丿丿
布	𠂇巾
补	衤卜
怖	忄𠂇巾
捕	扌甫
簿	⺮氵甫寸
埔	土甫
哺	口甫
埠	土丿㠯十
卟	口卜
逋	辶甫
钚	钅不
晡	日甫
瓿	立口瓦
醭	酉业⺶ㄟ
蔀	艹立口阝
埗	土止丨丿丿
𬷕	甫鸟
擦	扌宀丿乛丶丶二小
嚓	口宀丿乛丶丶二小
才	一丨丿
菜	艹丿⺍木
彩	丿⺍木丿丿丿
采	丿⺍木
财	冂人才
材	木才
猜	犭龶月
