薙	艹矢亻亠龶
逗	辶一口丷一
兜	丿乛白乛一儿
陡	阝土丨一人
窦	宀八十乛丶丶大
痘	疒一口丷一
蚪	虫丶丶十
蔸	艹白丿乛乛一儿
篼	⺮白丿乛乛一儿
钭	钅丶丶十
读	讠十乛丶丶大
度	广廿又
独	犭虫
毒	龶母
杜	木土
肚	月土
赌	冂人耂日
督	上小又目
渡	氵广廿又
嘟	口耂日阝
堵	土耂日
妒	女户
睹	目耂日
笃	⺮马
渎	氵十乛丶丶大
镀	钅广廿又
犊	牛十乛丶丶大
牍	片十乛丶丶大
蠹	一丨乛一丨冖石虫虫
黩	黑十乛丶丶大
阇	门耂日
芏	艹土
椟	木十乛丶丶大
髑	骨罒勹虫
厾	乛土厶
𬭊	钅木土
断	米乛斤
段	丿丨一一一几又
短	矢一口丷一
端	立山而
锻	钅丿丨一一一几又
缎	纟丿丨一一一几又
煅	火丿丨一一一几又
椴	木丿丨一一一几又
耑	山而
簖	⺮米乛斤
塅	土丿丨一一一几又
瑖	王丿丨一一一几又
对	又寸
队	阝人
堆	土亻亠龶
兑	丷口儿
怼	又寸心
碓	石亻亠龶
祋	礻几又
顿	屯一丿冂人
盾	丿丿十目
蹲	⻊丷酉寸
敦	亠口子攵
沌	氵屯
遁	辶丿丿十目
吨	口屯
钝	钅屯
墩	土亠口子攵
炖	火屯
盹	目屯
惇	忄亠口子
趸	万口丨一人
礅	石亠口子攵
蹾	⻊亠口子攵
砘	石屯
镦	钅亠口子攵
囤	囗屯
多	夕夕
躲	身几木
朵	几木
夺	大寸
堕	阝𠂇月土
哆	口夕夕
跺	⻊几木
踱	⻊广廿又
舵	舟宀匕
咄	口出
剁	几木刂
铎	钅又一一丨
惰	忄𠂇工月
垛	土几木
掇	扌又又又又
哚	口几木
裰	衤又又又又
埵	土垂
饳	饣出
亸	亠口子丷丨乛一一一丨
剟	又又又又刂
驮	马大
㙍	土又又又又
饿	饣我
呃	口厂乛乛
恶	亚心
额	宀夂口一丿冂人
俄	亻我
愕	忄口口亏
鹅	我鸟
噩	王口口口口
娥	女我
厄	厂乛乛
峨	山我
鄂	口口亏阝
遏	辶日勹人乛
扼	扌厂乛乛
鳄	鱼口口亏
蛾	虫我
婀	女阝丁口
讹	讠亻匕
锷	钅口口亏
颚	口口亏一丿冂人
鹗	口口亏鸟
萼	艹口口亏
屙	尸阝丁口
谔	讠口口亏
垩	亚土
腭	月口口亏
莪	艹我
轭	车厂乛乛
苊	艹厂乛乛
锇	钅我
崿	山口口亏
姶	女人一口
涐	氵我
哦	口我
堨	土日勹人乛
𥔲	石口口亏
𫫇	口亚心
嗯	口囗大心
恩	囗大心
摁	扌囗大心
蒽	艹囗大心
而	一丿冂丨丨
儿	丿乛
二	一一
尔	⺈小
耳	一丨丨一一一
饵	饣耳
迩	辶⺈小
贰	弋二冂人
洱	氵耳
珥	王耳
铒	钅耳
鸸	而鸟
陑	阝而
鲕	鱼而
咡	口耳
耏	而丿丿丿
发	乛丿又丶
法	氵土厶
罚	罒讠刂
乏	丿之
伐	亻戈
阀	门亻戈
筏	⺮亻戈
砝	石土厶
珐	王土厶
垡	亻戈土
反	丿丿又
饭	饣丿丿又
翻	丿米田习习
烦	火一丿冂人
凡	几丶
犯	犭乛乛
范	艹氵乛乛
番	丿米田
繁	丿一母攵幺小
返	辶丿丿又
泛	氵乏
帆	巾凡
贩	冂人丿丿又
樊	木乂乂木大
藩	艹氵丿米田
梵	木木凡
幡	巾丿米田
蘩	艹丿一母攵幺小
璠	王丿米田
矾	石凡
畈	田丿丿又
燔	火丿米田
钒	钅凡
氾	氵乛乛
蹯	⻊丿米田
墦	土丿米田
𫔍	钅丿米田
𬸪	丿米田鸟
放	方攵
房	户方
防	阝方
方	丶万
仿	亻方
芳	艹方
访	讠方
妨	女方
坊	土方
纺	纟方
肪	月方
舫	舟方
枋	木方
昉	日方
鲂	鱼方
邡	方阝
钫	钅方
牥	牛方
蚄	虫方
飞	乛丿丶
非	丨一一一丨一一一
费	弗冂人
菲	艹非
废	广乛丿又丶
妃	女己
肥	月巴
啡	口非
匪	匚非
沸	氵弗
肺	月一丨乛丨
绯	纟非
斐	非文
霏	雨非
翡	非习习
扉	户非
吠	口犬
诽	讠非
蜚	非虫
狒	犭弗
腓	月非
悱	忄非
淝	氵月巴
芾	艹一丨乛丨
痱	疒非
榧	木匚非
鲱	鱼非
篚	⺮匚非
朏	月出
棐	非木
镄	钅弗冂人
剕	非刂
𬴂	马非
分	八刀
份	亻八刀
纷	纟八刀
奋	大田
愤	忄十艹冂人
粉	米八刀
氛	气八刀
吩	口八刀
芬	艹八刀
焚	木木火
坟	土文
忿	八刀心
粪	米艹一八
汾	氵八刀
酚	酉八刀
棼	木木八刀
偾	亻十艹冂人
鲼	鱼十艹冂人
棻	艹八刀木
鼢	臼乛丶丶乛丶丶乛八刀
翂	习习八刀
瀵	氵米田艹一八
坋	土八刀
豮	豕十艹冂人
𣸣	氵十艹冂人
风	几乂
封	土土寸
凤	几又
峰	山夂丰
疯	疒几乂
锋	钅夂丰
枫	木几乂
丰	一一一丨
奉	寿上ㄟ一一丨
冯	冫马
缝	纟夂丰辶
逢	辶夂丰
讽	讠几乂
蜂	虫夂丰
烽	火夂丰
俸	亻寿上ㄟ一一丨
沣	氵丰
沨	氵几乂
酆	山丰丰一口丷一阝
葑	艹土土寸
唪	口寿上ㄟ一一丨
砜	石几乂
赗	冂人冂一一目
浲	氵夂丰
崶	山土土寸
否	不口
缶	午凵
服	月卩又
夫	一一丿ㄟ
父	八乂
复	丿一日夂
福	礻一口田
府	广亻寸
副	一口田刂
负	⺈冂人
付	亻寸
富	宀一口田
妇	女彐
附	阝亻寸
伏	亻犬
傅	亻甫寸
浮	氵丿⺍子
扶	扌夫
抚	扌无
符	⺮亻寸
肤	月夫
腹	月丿一日夂
幅	巾一口田
咐	口亻寸
覆	西彳丿一日夂
腐	广亻寸内人
弗	乛一乛丿丨
赴	土丨一人卜
斧	八乂斤
俯	亻广亻寸
赋	冂人一弋止
辅	车甫
芙	艹夫
拂	扌弗
甫	一丨乛一一丨丶
俘	亻丿⺍子
缚	纟甫寸
蝠	虫一口田
敷	甫方攵
脯	月甫
袱	衤亻犬
腑	月广亻寸
辐	车一口田
孚	丿⺍子
驸	马亻寸
釜	八乂干丶丿一
苻	艹亻寸
匐	勹一口田
宓	宀必
阜	丿㠯十
孵	卵丿⺍子
馥	禾日丿一日夂
茀	艹弗
涪	氵立口
茯	艹亻犬
凫	丿乛丶乛几
蚨	虫夫
拊	扌亻寸
蝮	虫丿一日夂
讣	讠卜
黼	业丶丿丨乛丨丿丶甫
趺	⻊夫
怫	忄弗
氟	气弗
蜉	虫丿⺍子
黻	业丶丿丨乛丨丿丶𠂇又丶
麸	龶夂夫
绂	纟𠂇又丶
跗	⻊亻寸
鲋	鱼亻寸
罘	罒不
滏	氵八乂干丶丿一
郛	丿⺍子阝
菔	艹月卩又
桴	木丿⺍子
幞	巾业⺶ㄟ
祓	礻𠂇又丶
呋	口夫
绋	纟弗
莩	艹丿⺍子
赙	冂人甫寸
鄜	广乛丨丨一比左匕阝
芣	艹不
洑	氵亻犬
簠	⺮甫皿
榑	木甫寸
稃	禾丿⺍子
韨	韦𠂇又丶
玞	王夫
砆	石夫
垺	土丿⺍子
㕮	口八乂
㳇	氵八乂
琈	王丿⺍子
𫓧	钅夫
𫖯	儿冫丿丶一丿冂人
尬	尢人丿丨
嘎	口一自戈
伽	亻力口
噶	口艹日勹人乛
旮	九日
咖	口力口
尕	乃小
尜	小大小
轧	车乛
钆	钅乛
戛	一自戈
该	讠亠乛丿人
改	己攵
盖	⺷皿
概	木即左一乛丿乛
丐	一丨一乛
钙	钅丐
溉	氵即左一乛丿乛
赅	冂人亠乛丿人
垓	土亠乛丿人
陔	阝亠乛丿人
戤	乃又皿戈
荄	艹亠乛丿人
晐	日亠乛丿人
𬮿	阝山己
感	戌口心
干	一十
敢	乛耳攵
赶	土丨一人干
甘	廿一
尴	尢丨丨丿一丶皿
杆	木干
肝	月干
竿	⺮干
橄	木乛耳攵
赣	立日十夂工冂人
秆	禾干
柑	木甘
擀	扌十日十人干
玕	王干
淦	氵金
泔	氵甘
矸	石干
坩	土甘
绀	纟甘
苷	艹甘
旰	日干
疳	疒甘
酐	酉干
澉	氵乛耳攵
虷	虫干
鳡	鱼戌口心
㽏	氵人一口甘
刚	冂乂刂
港	氵艹一八巳
钢	钅冂乂
岗	山冂乂
冈	冂乂
缸	缶工
纲	纟冂乂
罡	罒正
杠	木工
肛	月工
筻	⺮更
冮	冫工
矼	石工
堽	土罒正
戆	立日十夂工冂人心
扛	扌工
㭎	木冂乂
鿍	土夂一乛丨
高	亠口冂口
告	⺧口
搞	扌亠口冂口
糕	米⺷灬
稿	禾亠口冂口
膏	亠口冖口月
羔	⺷灬
皋	白大十
镐	钅亠口冂口
睾	丿罒土丷干
篙	⺮亠口冂口
诰	讠⺧口
槁	木亠口冂口
杲	日木
缟	纟亠口冂口
锆	钅⺧口
郜	⺧口阝
藁	艹亠口冂口木
槔	木白大十
筶	⺮⺧口
个	人丨
哥	丁口丁口
各	夂口
格	木夂口
歌	丁口丁口⺈人
革	廿丨乛一一丨
隔	阝一口冂丷一丨
阁	门夂口
葛	艹日勹人乛
割	宀丰口刂
胳	月夂口
戈	一乛丿丶
搁	扌门夂口
鸽	人一口鸟
疙	疒乞
骼	骨夂口
嗝	口一口冂丷一丨
硌	石夂口
咯	口夂口
铬	钅夂口
鬲	一口冂丷一丨
圪	土乞
蛤	虫人一口
舸	舟丁口
膈	月一口冂丷一丨
虼	虫乞
袼	衤夂口
哿	力口丁口
镉	钅一口冂丷一丨
仡	亻乞
饹	饣夂口
塥	土一口冂丷一丨
滆	氵一口冂丷一丨
合	人一口
给	纟人一口
跟	⻊艮
根	木艮
亘	一日一
艮	彐乛丿ㄟ
哏	口艮
茛	艹艮
更	一丨乛一一丿ㄟ
耿	耳火
哽	口更
耕	耒井
羹	⺷灬⺷大
庚	广乛一一丿ㄟ
梗	木更
赓	广乛一一丿ㄟ冂人
埂	土更
鲠	鱼更
绠	纟更
浭	氵更
暅	日忄一日一
颈	乛丶工一丿冂人
鹒	广乛一一丿ㄟ鸟
𬒔	石止月
公	八厶
工	一丨一
功	工力
攻	工攵
宫	宀口口
共	艹一八
供	亻艹一八
恭	艹一八⺗
弓	乛一乛
贡	工冂人
躬	身弓
拱	扌艹一八
龚	龙艹一八
巩	工凡
蚣	虫八厶
觥	⺈用⺌兀
汞	工水
肱	月𠂇厶
珙	王艹一八
䢼	艹一八阝
硔	石艹一八
够	勹口夕夕
狗	犭勹口
构	木勹厶
勾	勹厶
购	冂人勹厶
沟	氵勹厶
钩	钅勹厶
苟	艹勹口
垢	土丿丿一口
篝	⺮一一丨丨一冉
佝	亻勹口
媾	女一一丨丨一冉
枸	木勹口
诟	讠丿丿一口
彀	士冖一弓几又
缑	纟亻乛一矢
遘	辶一一丨丨一冉
鞲	革一一丨丨一冉
笱	⺮勹口
觏	一一丨丨一冉冂见下
岣	山勹口
姤	女丿丿一口
雊	勹口亻亠龶
耇	耂勹口
句	勹口
古	十口
故	十口攵
顾	厂乛乛一丿冂人
股	月几又
姑	女十口
骨	丨乛乛冖月
孤	子瓜
谷	八人口
鼓	士口丷一十又
固	囗十口
估	亻十口
咕	口十口
辜	十口立十
雇	户亻亠龶
蛊	虫皿
菇	艹女十口
汩	氵曰
箍	⺮扌匚巾
锢	钅囗十口
沽	氵十口
贾	西冂人
鹘	骨鸟
臌	月士口丷一十又
牯	牛十口
轱	车十口
鸪	十口鸟
梏	木⺧口
痼	疒囗十口
钴	钅十口
毂	士冖车几又
崮	山囗十口
诂	讠十口
瞽	士口丷一十又目
菰	艹子瓜
蛄	虫十口
羖	⺶几又
觚	⺈用瓜
嘏	十口乛一丨一一乛一又
罟	罒十口
榖	士冖一木几又
酤	酉十口
馉	饣骨
牿	牛⺧口
堌	土囗十口
蓇	艹骨
鲴	鱼囗十口
呱	口瓜
鹄	⺧口鸟
瀔	氵士冖一禾几又
𦙶	月十口
挂	扌土土
瓜	丿丿乛丶ㄟ
刮	千口刂
寡	宀一丿且八刀
卦	土土卜
褂	衤土土卜
剐	口内刂
鸹	千口鸟
诖	讠土土
栝	木千口
胍	月瓜
怪	忄又土
乖	千丨一一匕
拐	扌口力
掴	扌囗玉
夬	乛一丿ㄟ
关	丷天
管	⺮宀㠯
官	宀㠯
观	又冂见下
馆	饣宀㠯
惯	忄毌冂人
冠	冖二儿寸
贯	毌冂人
灌	氵艹口口亻亠龶
罐	缶艹口口亻亠龶
棺	木宀㠯
倌	亻宀㠯
盥	丿丨一一水彐皿
掼	扌毌冂人
涫	氵宀㠯
鳏	鱼罒丨丿丿丶丶
鹳	艹口口亻亠龶鸟
瓘	王艹口口亻亠龶
祼	礻果
琯	王宀㠯
毌	乛乛丨一
筦	⺮宀二儿
蒄	艹冖二儿寸
爟	火艹口口亻亠龶
纶	纟人匕
莞	艹宀二儿
鳤	鱼⺮宀㠯
光	⺌兀
广	丶厂
逛	辶犭王
咣	口⺌兀
犷	犭广
胱	月⺌兀
桄	木⺌兀
洸	氵⺌兀
珖	王⺌兀
垙	土⺌兀
𨐈	车⺌兀
鬼	丿丨乛一一丿乛厶
贵	中一冂人
规	夫冂见下
归	丨丿彐
跪	⻊⺈厂乛乛
柜	木巨
诡	讠⺈厂乛乛
瑰	王鬼
桂	木土土
龟	⺈丨乛一一乛
轨	车九
闺	门土土
圭	土土
桧	木人二厶
刽	人二厶刂
癸	乛丶丿丿ㄟ天
硅	石土土
妫	女为
珪	王土土
皈	白丿丿又
晷	日夂卜口
鲑	鱼土土
刿	山夕刂
鳜	鱼厂丷一乛丨丿⺈人
姽	女⺈厂乛乛
簋	⺮艮皿
庋	广十又
宄	宀九
匦	匚车九
邽	土土阝
鬶	夫冂见下一口冂丷一丨
炅	日火
筀	⺮土土
滚	氵亠八厶𧘇
棍	木日比左匕
衮	亠八厶𧘇
鲧	鱼丿幺小
磙	石亠八厶𧘇
辊	车日比左匕
绲	纟日比左匕
过	辶寸
国	囗玉
果	丨乛一一一丨丿ㄟ
郭	亠口子阝
锅	钅口内
裹	亠果𧘇
蝈	虫囗玉
聒	耳千口
帼	巾囗玉
椁	木亠口子
虢	丿⺍寸虍几
埚	土口内
呙	口内
崞	山亠口子
腘	月囗玉
馘	丷一自戈口一
粿	米果
蜾	虫果
馃	饣果
涡	氵口内
𬇹	氵囗玉
哈	口人一口
铪	钅人一口
还	辶不
海	氵丿一母
孩	子亠乛丿人
害	宀丰口
骇	马亠乛丿人
嗨	口氵丿一母
骸	骨亠乛丿人
亥	亠乛丿人
咳	口亠乛丿人
嗐	口宀丰口
氦	气亠乛丿人
醢	酉𠂇口皿
胲	月亠乛丿人
咍	口厶口
汉	氵又
寒	宀一一丨丨一八丶丶
喊	口戌口
韩	十日十韦
汗	氵干
含	人丶乛口
涵	氵了冫丿丶凵
翰	十日十人习习
憾	忄戌口心
罕	冖八干
撼	扌戌口心
悍	忄日干
瀚	氵十日十人习习
函	了冫丿丶凵
憨	乛耳攵心
旱	日干
酣	酉甘
颔	人丶乛口一丿冂人
邯	甘阝
捍	扌日干
鼾	自田一丿丨干
晗	日人丶乛口
菡	艹了冫丿丶凵
焊	火日干
顸	干一丿冂人
邗	干阝
焓	火人丶乛口
蚶	虫甘
扞	扌干
撖	扌乛耳攵
暵	日廿丨乛一一一丿ㄟ
浛	氵人丶乛口
琀	王人丶乛口
㘎	口门乛耳攵
垾	土日干
崡	山了冫丿丶凵
嵅	山戌口
蔊	艹火日干
行	彳亍
航	舟亠几
杭	木亠几
夯	大力
沆	氵亠几
颃	亠几一丿冂人
绗	纟彳亍
吭	口亠几
巷	艹一八巳
好	女子
号	口一乛
毫	亠口冖毛
豪	亠口冖豕
浩	氵⺧口
耗	耒毛
昊	日天
郝	土丿丨丿丶阝
嚎	口亠口冖豕
皓	白⺧口
壕	土亠口冖豕
嗥	口白大十
颢	日亠口小一丿冂人
濠	氵亠口冖豕
蒿	艹亠口冂口
灏	氵日亠口小一丿冂人
貉	豸夂口
蚝	虫毛
薅	艹女厂二乛丿ㄟ寸
皞	白白大十
淏	氵日天
嚆	口艹亠口冂口
鄗	亠口冂口阝
和	禾口
何	亻丁口
喝	口日勹人乛
呵	口丁口
河	氵丁口
赫	土丿丨丿丶土丿丨丿丶
核	木亠乛丿人
贺	力口冂人
盒	人一口皿
荷	艹亻丁口
鹤	丶乛丿丨亠龶鸟
禾	丿木
褐	衤日勹人乛
嗬	口艹亻丁口
壑	丨一冖一八人口又土
阖	门土厶皿
吓	口下
涸	氵囗十口
劾	亠乛丿人力
颌	人一口一丿冂人
阂	门亠乛丿人
诃	讠丁口
郃	人一口阝
纥	纟乞
龢	人一口口口冂艹禾
鞨	革日勹人乛
翮	一口冂丷一丨习习
曷	日勹人乛
龁	止人凵乞
盍	土厶皿
菏	艹氵丁口
盉	禾皿
饸	饣人一口
熇	火亠口冂口
鹖	日勹人乛鸟
翯	习习亠口冂口
垎	土夂口
隺	丶乛丿丨亠龶
𬌗	牙人一口
黑	丨乛丶丿一丨一一灬
嘿	口黑
𬭶	钅黑
很	彳艮
狠	犭艮
恨	忄艮
痕	疒艮
𬣳	讠艮
哼	口亠口了
横	木艹一由八
衡	彳⺈田大亍
恒	忄一日一
亨	亠口了
蘅	艹彳⺈田大亍
珩	王彳亍
姮	女一日一
桁	木彳亍
鸻	彳亍鸟
堼	土土寸土
红	纟工
轰	车又又
洪	氵艹一八
虹	虫工
宏	宀𠂇厶
鸿	氵工鸟
哄	口艹一八
弘	弓厶
烘	火艹一八
泓	氵弓厶
闳	门𠂇厶
讧	讠工
薨	艹罒冖歹匕
訇	勹亠一一口
荭	艹纟工
纮	纟𠂇厶
吽	口牛
竑	立𠂇厶
蕻	艹一丨一二厶艹一八
翃	𠂇厶习习
黉	⺍冖艹一由八
唝	口工冂人
玒	王工
谼	八人口艹一八
𫟹	钅艹一八
𬭎	钅宀𠂇厶
后	丿丿一口
候	亻丨乛一矢
厚	厂日子
吼	口子乛
侯	亻乛一矢
猴	犭亻乛一矢
喉	口亻乛一矢
逅	辶丿丿一口
篌	⺮亻乛一矢
瘊	疒亻乛一矢
鲎	⺍冖鱼
堠	土亻乛一矢
垕	丿丿一口土
齁	自田一丿丨勹口
骺	骨丿丿一口
糇	米亻乛一矢
郈	丿丿一口阝
鲘	鱼丿丿一口
𬭤	钅亻乛一矢
乎	丿丶丿一丨
呼	口乎
忽	勿心
护	扌户
胡	十口月
虎	虍几
湖	氵十口月
糊	米十口月
户	丶尸
互	一乛乛一
狐	犭瓜
壶	士冖业
蝴	虫十口月
惚	忄勿心
弧	弓瓜
唬	口虍几
葫	艹十口月
沪	氵户
扈	户口巴
瑚	王十口月
琥	王虍几
浒	氵讠午
斛	⺈用丶丶十
囫	囗勿
祜	礻十口
醐	酉十口月
唿	口勿心
猢	犭十口月
笏	⺮勿
瓠	大亏瓜
槲	木⺈用丶丶十
怙	忄十口
煳	火十口月
鹕	十口月鸟
滹	氵虍乎
觳	士冖一⺈用几又
岵	山十口
烀	火乎
鄠	雨亏阝
戽	户丶丶十
縠	士冖一丿幺小几又
冱	冫互
鹱	鸟艹亻亠龶又
淴	氵勿心
昒	日勿
鳠	鱼艹亻亠龶又
嫭	女虍乎
轷	车乎
昈	日户
话	讠千口
花	艹亻匕
化	亻匕
华	亻匕十
划	戈刂
画	一田凵
滑	氵骨
哗	口亻匕十
猾	犭骨
桦	木亻匕十
骅	马亻匕十
婳	女一田凵
铧	钅亻匕十
砉	丰石
觟	⺈用土土
怀	忄不
坏	土不
淮	氵亻亠龶
槐	木鬼
徊	彳囗口
踝	⻊果
换	扌⺈丨乛大
缓	纟丿⺍一𠂇又
环	王不
幻	幺乛
唤	口⺈丨乛大
欢	又⺈人
患	串心
焕	火⺈丨乛大
桓	木一日一
鬟	一丨一二厶丿丿丿罒一口𧘇
宦	宀臣
寰	宀罒一口𧘇
浣	氵宀二儿
痪	疒⺈丨乛大
涣	氵⺈丨乛大
奂	⺈丨乛大
圜	囗罒一口𧘇
豢	龹豕
獾	犭艹口口亻亠龶
洹	氵一日一
嬛	女罒一口𧘇
缳	纟罒一口𧘇
萑	艹亻亠龶
鲩	鱼宀二儿
郇	勹日阝
漶	氵串心
逭	辶宀㠯
擐	扌罒一口𧘇
锾	钅丿⺍一𠂇又
镮	钅罒一口𧘇
澴	氵罒一口𧘇
鹮	罒一口𧘇鸟
貆	豸一日一
峘	山一日一
㬊	日丿⺍一𠂇又
荁	艹一日一
𤩽	王十冂丷干犬
𬘫	纟宀二儿
黄	艹一由八
皇	白王
晃	日⺌兀
慌	忄艹亡丿丨乛
荒	艹亡丿丨乛
恍	忄⺌兀
谎	讠艹亡丿丨乛
惶	忄白王
凰	几白王
煌	火白王
簧	⺮艹一由八
徨	彳白王
蝗	虫白王
幌	巾日⺌兀
潢	氵艹一由八
璜	王艹一由八
遑	辶白王
磺	石艹一由八
隍	阝白王
肓	亡月
湟	氵白王
蟥	虫艹一由八
篁	⺮白王
鳇	鱼白王
滉	氵日⺌兀
喤	口白王
癀	疒艹一由八
锽	钅白王
艎	舟白王
瑝	王白王
媓	女白王
㿠	白⺌兀
𨱑	钅艹一由八
会	人二厶
回	囗口
挥	扌冖车
灰	𠂇火
慧	丰丰彐心
辉	⺌兀冖车
恢	忄𠂇火
毁	臼工几又
悔	忄丿一母
惠	一丨乛一一丨一丶心
汇	氵匚
绘	纟人二厶
徽	彳山一幺小攵
讳	讠韦
晖	日冖车
晦	日丿一母
贿	冂人𠂇月
秽	禾山夕
卉	十廾
麾	广木木毛
诲	讠丿一母
蕙	艹一丨乛一一丨一丶心
彗	丰丰彐
诙	讠𠂇火
喙	口乛乛豕
荟	艹人二厶
烩	火人二厶
虺	兀虫
蛔	虫囗口
珲	王冖车
咴	口𠂇火
茴	艹囗口
恚	土土心
洄	氵囗口
袆	衤韦
隳	阝𠂇工月人⺗
翚	习习冖车
翙	山夕习习
浍	氵人二厶
蟪	虫一丨乛一一丨一丶心
硊	石⺈厂乛乛
橞	木一丨乛一一丨一丶心
哕	口山夕
溃	氵中一冂人
㧑	扌为
烠	火𠂇月
𬤝	讠一丨乛一一丨一丶心
𬭬	钅丰丰彐
婚	女氏日
混	氵日比左匕
魂	二厶鬼
昏	氏日
浑	氵冖车
荤	艹冖车
馄	饣日比左匕
诨	讠冖车
阍	门氏日
溷	氵囗豕
惛	忄氏日
碈	石氏日
或	戈口一
活	氵千口
火	丶丿人
伙	亻火
获	艹犭犬
惑	戈口一心
货	亻匕冂人
祸	礻口内
霍	雨亻亠龶
豁	宀丰口八人口
夥	果夕夕
嚯	口雨亻亠龶
藿	艹雨亻亠龶
镬	钅艹亻亠龶又
蠖	虫艹亻亠龶又
攉	扌雨亻亠龶
钬	钅火
嚄	口艹亻亠龶又
锪	钅勿心
劐	艹亻亠龶又刂
濩	氵艹亻亠龶又
耠	耒人一口
漷	氵亠口子阝
㸌	火雨亻亠龶
佸	亻千口
𬴃	马丰石
级	纟及
集	亻亠龶木
几	丿乛
及	丿乛ㄟ
机	木几
记	讠己
季	禾子
击	一一丨凵
急	⺈彐心
系	丿幺小
即	即左卩
既	即左一乛丿乛
极	木及
计	讠十
激	氵白方攵
继	纟米乛
基	其上八土
己	乛一乛
际	阝二小
纪	纟己
技	扌十又
济	氵文丿丨
迹	辶亠丿丨丿丶
吉	士口
积	禾口八
鸡	又鸟
寂	宀上小又
挤	扌文丿丨
疾	疒矢
忌	己心
姬	女匚丨口丨
绩	纟龶冂人
祭	丿乛丶丶二小
肌	月几
寄	宀大丁口
辑	车口耳
籍	⺮耒艹一日
圾	土及
妓	女十又
嫉	女疒矢
饥	饣几
剂	文丿丨刂
奇	大丁口
脊	冫丿丶人月
稽	禾尤匕日
叽	口几
唧	口即左卩
讥	讠几
藉	艹耒艹一日
冀	丨一一匕田艹一八
戟	十日十戈
棘	一丨乛丨丿ㄟ一丨乛丨丿ㄟ
缉	纟口耳
悸	忄禾子
羁	罒革马
玑	王几
伎	亻十又
霁	雨文丿丨
矶	石几
髻	一丨一二厶丿丿丿士口
稷	禾田八夂
岌	山及
汲	氵及
畸	田大丁口
笈	⺮及
觊	山己冂见下
骥	马丨一一匕田艹一八
嵇	禾尤山
蓟	艹鱼刂
箕	⺮其上八
佶	亻士口
瘠	疒冫丿丶人月
畿	幺幺戈田
犄	牛大丁口
亟	了口又一
跻	⻊文丿丨
殛	歹了口又一
暨	即左一乛丿乛日一
鲫	鱼即左卩
偈	亻日勹人乛
齑	文韭丿丨
蒺	艹疒矢
芨	艹及
屐	尸彳十又
荠	艹文丿丨
楫	木口耳
赍	十冖人人冂人
乩	丨一口乛
麂	广乛丨丨一比左匕几
笄	⺮开
芰	艹十又
墼	车凵几又土
鹡	冫丿丶人月鸟
剞	大丁口刂
戢	口戈丨丨一一一
虮	虫几
伋	亻及
垍	土自
掎	扌大丁口
洎	氵自
跽	⻊己心
嵴	山冫丿丶人月
鲚	鱼文丿丨
蕺	艹口戈丨丨一一一
罽	罒厂火火刂
蹐	⻊冫丿丶人月
姞	女士口
漈	氵丿乛丶丶二小
穄	禾丿乛丶丶二小
耤	耒艹一日
觭	⺈用大丁口
惎	其上八心
期	其上八月
鱾	鱼己
㴔	氵⺈彐心
堲	即左卩土
徛	彳大丁口
枅	木开
瀱	氵罒厂火火刂
𪟝	龶冂人力
𫌀	衤龶冂人
𫓯	钅土土
𫓹	钅其上八
𬯀	阝文丿丨
𬶨	即左一乛丿乛鱼
𬶭	鱼丿乛丶丶二小
家	宀豕
加	力口
价	亻人丿丨
假	亻乛一丨一一乛一又
架	力口木
甲	丨乛一一丨
佳	亻土土
夹	一丶丿一丿ㄟ
嘉	士口丷一力口
嫁	女宀豕
驾	力口马
颊	夹一丿冂人
迦	辶力口
茄	艹力口
稼	禾宀豕
枷	木力口
珈	王力口
袈	力口亠𧘇
葭	艹乛一丨一一乛一又
浃	氵夹
胛	月甲
痂	疒力口
笳	⺮力口
岬	山甲
槚	木西冂人
钾	钅甲
荚	艹夹
郏	夹阝
铗	钅夹
跏	⻊力口
蛱	虫夹
恝	丰刀心
斝	口口冖丶丶十
镓	钅宀豕
瘕	疒乛一丨一一乛一又
泇	氵力口
𬂩	木夹
见	冂见下
间	门日
剑	人一⺍一刂
件	亻牛
建	廴聿
键	钅聿廴
渐	氵车斤
简	⺮门日
坚	丨丨又土
肩	户月
箭	⺮丷一月刂
舰	舟冂见下
尖	小大
监	丨丨丿一丶皿
健	亻聿廴
检	木人一⺍一
减	冫戌口
奸	女干
艰	又艮
兼	丷一乛一一丨丨丿ㄟ
鉴	丨丨丿一丶金
贱	冂人戋
捡	扌人一⺍一
剪	丷一月刂刀
溅	氵冂人戋
践	⻊戋
荐	艹𠂇丨子
歼	歹千
拣	扌一乛乛丿丶
煎	丷一月刂灬
俭	亻人一⺍一
涧	氵门日
茧	艹虫
谏	讠柬
柬	一丨乛丶丿一丨丿ㄟ
笺	⺮戋
缄	纟戌口
戬	亚日戈
锏	钅门日
碱	石戌口
睑	目人一⺍一
翦	丷一月刂习习
饯	饣戋
蹇	宀一一丨丨一八口丨一人
僭	亻一乛丿乛一乛丿乛日
菅	艹宀㠯
毽	毛聿廴
腱	月聿廴
謇	宀一一丨丨一八亠一一口
蒹	艹丷一乛一一丨丨丿ㄟ
戋	一一乛丿丶
槛	木丨丨丿一丶皿
鞯	革艹𠂇丨子
笕	⺮冂见下
鹣	丷一乛一一丨丨丿ㄟ鸟
搛	扌丷一乛一一丨丨丿ㄟ
缣	纟丷一乛一一丨丨丿ㄟ
鞬	革聿廴
